Plant Name,Light,Watering,Soil,Fertilizer,Toxicity,Notes,,
Aloe Vera,Bright, indirect light,Water deeply, then let soil dry completely,Well-draining cactus mix,Feed lightly in spring/summer,Mildly toxic to pets,Prone to root rot if overwatered.
Begonia (Begonia spp.),Bright, indirect,Keep soil slightly moist,Rich, well-draining,Balanced fertilizer every 2 weeks in growing season,Toxic to pets,Avoid wetting leaves to reduce mildew.
Chrysanthemum,Full sun,Keep evenly moist,Rich, well-draining,Balanced fertilizer every 2 weeks,Toxic to pets,Pinch back stems to encourage bushy growth.,
Daffodils (Narcissus spp.),Full sun to partial shade,Water regularly while growing, then keep dry when dormant,Well-draining,Bulb fertilizer at planting,Highly toxic to pets,Do not ingest bulbs or foliage.,
Hyacinth (Hyacinthus orientalis),Bright, indirect,Keep soil lightly moist during bloom,Well-draining,Bulb fertilizer at planting,Toxic to pets,Good air circulation prevents mold on bulbs.,
Lily of the valley (Convallaria majalis),Partial to full shade,Keep soil consistently moist,Rich, well-draining,Light feeding in spring,Highly toxic,Spreads aggressively; can naturalize garden beds.,
Orchid,Bright, indirect,Soak roots, then allow to dry almost completely,Orchid bark mix,Weak orchid fertilizer every 2â€“4 weeks,Mildly toxic,Avoid standing water around roots.
Peace lily,Low to medium light,Water when top inch of soil is dry,Rich, well-draining,Balanced fertilizer monthly,Toxic to pets,Leaves droop visibly when thirsty.,
Tulip,Full sun,Water regularly during growth, then keep dry in dormancy,Well-draining,Bulb fertilizer at planting,Mildly toxic,Best in cool winters; may not rebloom in warm climates.,
Venus Flytrap,Full sun to bright light,Keep soil damp with distilled/rain water only,Pure sphagnum moss or peat/sand mix,Very light feeding if at all,Non-toxic,Do not trigger traps unnecessarily; requires winter dormancy.,,
